month_key,ref_date,population_thousands,labour_force_thousands,employment_thousands,unemployment_thousands,full_time_employment_thousands,part_time_employment_thousands,unemployment_rate_percent,participation_rate_percent,employment_rate_percent,employment_mom_change_thousands,employment_yoy_change_thousands,employment_yoy_change_percent,unemployment_rate_mom_change_pp,unemployment_rate_yoy_change_pp
202401,2024-01,13188.9,8574.8,8051.0,523.8,6629.6,1421.4,6.1,65.0,61.0,12.8,150.6,1.9,-0.1,0.8
202402,2024-02,13232.4,8625.0,8054.6,570.4,6664.0,1390.6,6.6,65.2,60.9,3.6,122.5,1.5,0.5,1.4
202403,2024-03,13273.7,8680.4,8092.5,587.9,6674.3,1418.3,6.8,65.4,61.0,37.9,130.8,1.6,0.2,1.5
202404,2024-04,13320.5,8701.5,8114.1,587.4,6711.9,1402.2,6.8,65.3,60.9,21.6,121.9,1.5,0.0,1.8
202405,2024-05,13364.3,8741.5,8152.5,589.0,6703.8,1448.8,6.7,65.4,61.0,38.4,171.2,2.1,-0.1,1.2
202406,2024-06,13404.9,8769.2,8155.4,613.8,6702.1,1453.3,7.0,65.4,60.8,2.9,125.5,1.6,0.3,1.4
202407,2024-07,13450.2,8775.7,8175.1,600.5,6759.1,1416.0,6.8,65.2,60.8,19.7,137.4,1.7,-0.2,1.2
202408,2024-08,13490.0,8806.4,8170.3,636.1,6714.6,1455.7,7.2,65.3,60.6,-4.8,117.9,1.5,0.4,1.4
202409,2024-09,13526.8,8818.0,8203.1,614.9,6756.1,1447.1,7.0,65.2,60.6,32.8,136.0,1.7,-0.2,1.2
202410,2024-10,13557.0,8804.0,8180.2,623.9,6729.9,1450.3,7.1,64.9,60.3,-22.9,124.8,1.5,0.1,0.9
202411,2024-11,13581.4,8866.0,8172.9,693.1,6732.3,1440.7,7.8,65.3,60.2,-7.3,109.0,1.4,0.7,1.7
202412,2024-12,13605.1,8876.4,8210.0,666.4,6734.3,1475.7,7.5,65.2,60.3,37.1,171.8,2.1,-0.3,1.3
202501,2025-01,13627.1,8908.2,8234.2,674.0,6784.0,1450.2,7.6,65.4,60.4,24.2,183.2,2.3,0.1,1.5
202502,2025-02,13642.9,8901.8,8245.7,656.1,6743.4,1502.3,7.4,65.2,60.4,11.5,191.1,2.4,-0.2,0.8
202503,2025-03,13662.2,8891.6,8221.6,670.0,6717.3,1504.3,7.5,65.1,60.2,-24.1,129.1,1.6,0.1,0.7
202504,2025-04,13681.1,8884.1,8193.6,690.5,6685.5,1508.1,7.8,64.9,59.9,-28.0,79.5,1.0,0.3,1.0
202505,2025-05,13692.6,8900.2,8198.1,702.1,6708.8,1489.3,7.9,65.0,59.9,4.5,45.6,0.6,0.1,1.2
202506,2025-06,13705.6,8899.2,8208.3,690.9,6700.4,1507.9,7.8,64.9,59.9,10.2,52.9,0.6,-0.1,0.8
202507,2025-07,13715.2,8912.7,8216.3,696.4,6726.9,1489.4,7.8,65.0,59.9,8.0,41.2,0.5,0.0,1.0
202508,2025-08,13722.8,8876.1,8190.3,685.9,6746.3,1444.0,7.7,64.7,59.7,-26.0,20.0,0.2,-0.1,0.5
202509,2025-09,13732.8,8903.0,8200.2,702.9,6797.4,1402.8,7.9,64.8,59.7,9.9,-2.9,-0.0,0.2,0.9
202510,2025-10,13741.8,8928.3,8252.5,675.8,6787.3,1465.2,7.6,65.0,60.1,52.3,72.3,0.9,-0.3,0.5
202511,2025-11,13748.5,8914.5,8256.4,658.1,6778.4,1478.0,7.4,64.8,60.1,3.9,83.5,1.0,-0.2,-0.4
202512,2025-12,13751.5,8988.9,8274.5,714.3,6816.6,1458.0,7.9,65.4,60.2,18.1,64.5,0.8,0.5,0.4
202601,2026-01,13751.2,8852.6,8208.0,644.5,6782.3,1425.7,7.3,64.4,59.7,-66.5,-26.2,-0.3,-0.6,-0.3
202602,2026-02,13754.3,8883.7,8211.3,672.4,6758.8,1452.5,7.6,64.6,59.7,3.3,-34.4,-0.4,0.3,0.2
202603,2026-03,13758.5,8881.5,8205.5,676.1,6771.2,1434.3,7.6,64.6,59.6,-5.8,-16.1,-0.2,0.0,0.1
202604,2026-04,13760.8,8920.8,8247.9,672.9,6821.6,1426.3,7.5,64.8,59.9,42.4,54.3,0.7,-0.1,-0.3
